127.0.0.1, 2013-06-19 08:53:15, GET, /tsweb/static/js/share.js, HTTP/1.1, 200, 0.000000
 0.015000
127.0.0.1, 2013-06-19 08:53:16, GET, /tsweb/static/images/gplus-32.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:16, GET, /tsweb/static/images/facebook.png, HTTP/1.1, 200, 0.016000
127.0.0.1, 2013-06-19 08:53:16, GET, /tsweb/static/images/twitter.png, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-06-19 08:53:56, GET, /admin/default/edit/tsweb/views/layout.html, HTTP/1.1, 200, 0.203000
127.0.0.1, 2013-06-19 08:53:57, GET, /admin/static/js/ajax_editor.js, HTTP/1.1, 304, 0.046000
127.0.0.1, 2013-06-19 08:53:58, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.484000
127.0.0.1, 2013-06-19 08:54:18, GET, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-19 08:54:19, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.062000
127.0.0.1, 2013-06-19 09:00:21, POST, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-19 09:00:32, GET, /tsweb, HTTP/1.1, 303, 7.002000
127.0.0.1, 2013-06-19 09:00:32, GET, /tsweb/default/index/_create/index, HTTP/1.1, 303, 0.282000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/default/user/login, HTTP/1.1, 200, 0.516000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/modernizr.custom.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/css/calendar.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/jquery.js, HTTP/1.1, 304, 0.016000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/web2py.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/calendar.js, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/js/share.js, HTTP/1.1, 304, 0.015000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/images/twitter.png, HTTP/1.1, 304, 0.015000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/images/gplus-32.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:00:33, GET, /tsweb/static/images/facebook.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2013-06-19 09:01:26, GET, /admin, HTTP/1.1, 303, 0.031000
127.0.0.1, 2013-06-19 09:01:27, GET, /admin/default/site, HTTP/1.1, 200, 0.156000
127.0.0.1, 2013-06-19 09:01:32, GET, /admin/default/design/init, HTTP/1.1, 200, 2.251000
127.0.0.1, 2013-06-19 09:01:36, GET, /admin/default/edit/init/models/cynotedb.py, HTTP/1.1, 200, 0.265000
127.0.0.1, 2013-06-19 09:01:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-06-19 09:01:44, GET, /admin/default/edit/init/controllers/cynote.py, HTTP/1.1, 200, 0.188000
127.0.0.1, 2013-06-19 09:01:45, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-06-19 09:02:17, GET, /admin/default/edit/init/controllers/statistics.py, HTTP/1.1, 200, 0.172000
127.0.0.1, 2013-06-19 09:02:18, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.047000
127.0.0.1, 2013-06-19 09:47:09, POST, /admin/default/edit/tsweb/controllers/default.py, HTTP/1.1, 200, 0.156000
127.0.0.1, 2013-06-19 09:47:16, GET, /admin/default/design/tsweb, HTTP/1.1, 200, 1.375000
127.0.0.1, 2013-06-19 09:47:36, GET, /admin/default/edit/tsweb/modules/transcriptstudio.py, HTTP/1.1, 200, 0.516000
127.0.0.1, 2013-06-19 09:47:37, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.047000
